,Symbol,Date,High,Low,Open,Close,Volume
1931,JNJ,2013-08-19,91.25,89.35,89.47,90.45,8687000
1932,JNJ,2013-08-20,91.65,89.73,90.55,89.73,8559200
1933,JNJ,2013-08-21,89.63,88.68,89.47,88.80,7940700
1934,JNJ,2013-08-22,89.03,88.12,88.76,88.26,7191900
1935,JNJ,2013-08-23,88.44,87.21,87.93,88.41,7714900
1936,JNJ,2013-08-26,88.48,87.39,88.36,87.53,6724500
1937,JNJ,2013-08-27,87.08,85.96,86.97,86.17,9941200
1938,JNJ,2013-08-28,86.91,85.88,86.36,86.53,8829200
1939,JNJ,2013-08-29,87.14,85.99,86.41,86.57,5768800
1940,JNJ,2013-08-30,86.78,85.85,86.78,86.41,7471300
1941,JNJ,2013-09-03,87.30,86.03,86.89,86.42,7590500
1942,JNJ,2013-09-04,87.25,86.25,86.46,86.90,8458800
1943,JNJ,2013-09-05,87.17,86.62,87.00,87.04,5647900
1944,JNJ,2013-09-06,87.92,86.00,87.22,87.16,10034900
1945,JNJ,2013-09-09,87.60,87.01,87.39,87.56,6819700
1946,JNJ,2013-09-10,88.58,87.85,88.14,88.53,8658700
1947,JNJ,2013-09-11,89.27,88.14,88.63,89.23,8098100
1948,JNJ,2013-09-12,89.57,88.88,89.30,89.01,7938500
1949,JNJ,2013-09-13,89.25,88.20,89.13,88.57,7738600
1950,JNJ,2013-09-16,89.57,88.83,89.43,89.03,7563700
1951,JNJ,2013-09-17,89.22,88.58,89.05,89.06,6291100
1952,JNJ,2013-09-18,89.91,88.30,88.91,89.91,10115500
1953,JNJ,2013-09-19,90.20,89.79,90.05,90.07,6721000
1954,JNJ,2013-09-20,90.72,89.68,90.20,89.68,14708600
1955,JNJ,2013-09-23,89.75,88.81,89.43,89.09,7376200
1956,JNJ,2013-09-24,89.20,88.15,89.02,88.22,7797500
1957,JNJ,2013-09-25,88.47,87.07,88.42,87.08,7493200
1958,JNJ,2013-09-26,87.70,86.72,87.28,87.07,6400600
1959,JNJ,2013-09-27,86.94,86.44,86.81,86.73,5461100
1960,JNJ,2013-09-30,86.95,86.15,86.33,86.69,7962300
1961,JNJ,2013-10-01,87.49,86.26,86.59,87.47,6318700
1962,JNJ,2013-10-02,87.29,86.44,87.13,87.29,6383400
1963,JNJ,2013-10-03,87.40,86.28,87.19,86.58,7724600
1964,JNJ,2013-10-04,87.42,86.56,86.82,87.31,6050000
1965,JNJ,2013-10-07,86.98,86.29,86.70,86.59,5705200
1966,JNJ,2013-10-08,86.74,85.57,86.62,85.61,8669800
1967,JNJ,2013-10-09,86.23,85.50,85.93,85.96,8014200
1968,JNJ,2013-10-10,87.78,86.70,86.72,87.78,8647900
1969,JNJ,2013-10-11,89.48,88.02,88.62,89.45,8449800
1970,JNJ,2013-10-14,89.89,88.63,88.83,89.80,9198600
1971,JNJ,2013-10-15,91.46,89.93,90.33,89.93,11024000
1972,JNJ,2013-10-16,91.17,90.16,90.42,91.11,8116000
1973,JNJ,2013-10-17,92.00,90.77,90.87,91.97,8569600
1974,JNJ,2013-10-18,92.05,91.14,91.75,91.63,9082600
1975,JNJ,2013-10-21,91.63,90.77,91.63,91.20,6940500
1976,JNJ,2013-10-22,92.56,91.50,91.53,92.36,9635500
1977,JNJ,2013-10-23,92.43,91.52,92.07,92.10,6449600
1978,JNJ,2013-10-24,92.99,92.14,92.65,92.35,5251000
1979,JNJ,2013-10-25,92.27,91.78,92.04,92.09,6076000
1980,JNJ,2013-10-28,92.80,91.92,91.96,92.39,6551000
1981,JNJ,2013-10-29,93.18,92.58,92.80,93.14,6096700
1982,JNJ,2013-10-30,93.45,92.65,93.27,92.79,6295400
1983,JNJ,2013-10-31,93.35,92.32,92.85,92.61,7773900
1984,JNJ,2013-11-01,93.58,92.38,92.38,93.37,6835900
1985,JNJ,2013-11-04,93.50,92.43,93.46,93.03,6862500
1986,JNJ,2013-11-05,92.95,92.28,92.54,92.81,5350600
1987,JNJ,2013-11-06,93.20,92.72,93.03,93.04,5301300
1988,JNJ,2013-11-07,93.35,92.69,93.19,92.69,6116900
